condition,replication,crisis,crisis_tick,final_stress,total_logs,classified_signals,governance_health
grid,2,False,None,0.1826,20,9,49.79
grid,3,False,None,0.1429,13,8,55.24
grid,4,False,None,0.1553,18,10,53.84
grid,5,False,None,0.1656,16,8,51.19
grid,6,False,None,0.1397,16,10,56.29
grid,7,False,None,0.1512,16,9,53.78
grid,8,False,None,0.1674,13,8,54.55
grid,9,False,None,0.1510,15,8,52.56
grid,10,False,None,0.1751,18,9,51.34
grid,11,False,None,0.1203,14,8,54.54
grid,12,False,None,0.1586,11,8,58.30
grid,13,False,None,0.1650,19,8,49.07
grid,14,False,None,0.1342,14,8,54.15
grid,15,False,None,0.1291,20,9,51.29
grid,16,False,None,0.1348,14,8,54.13
grid,17,False,None,0.1255,15,9,55.60
grid,18,False,None,0.1515,17,9,52.82
grid,19,False,None,0.1532,15,9,54.83
grid,20,False,None,0.1476,10,8,60.94
grid,21,False,None,0.1565,17,8,50.62
grid,22,False,None,0.1406,19,8,49.75
grid,23,False,None,0.1311,14,9,56.74
grid,24,False,None,0.1372,18,9,52.40
grid,25,False,None,0.1249,16,10,56.70
grid,26,False,None,0.1275,15,8,53.21
grid,27,False,None,0.1518,14,9,56.16
grid,28,False,None,0.1300,15,8,53.14
grid,29,False,None,0.1509,19,8,49.46
grid,30,False,None,0.1422,12,8,56.84
grid,31,False,None,0.1440,13,9,57.90
grid,32,False,None,0.1406,15,8,52.85
grid,33,False,None,0.1624,16,9,53.46
grid,34,False,None,0.1409,15,9,55.17
grid,35,False,None,0.1656,17,8,50.37
grid,36,False,None,0.1519,13,8,54.99
grid,37,False,None,0.1611,12,8,56.32
grid,38,False,None,0.1598,20,8,48.68
grid,39,False,None,0.1305,17,9,53.41
grid,40,False,None,0.1402,15,8,52.86
grid,41,False,None,0.1615,18,8,49.77
grid,42,False,None,0.1525,14,8,53.64
grid,43,False,None,0.1395,16,9,54.11
grid,44,False,None,0.1542,18,9,51.92
grid,45,False,None,0.1439,14,8,53.88
grid,46,False,None,0.1572,15,8,52.38
grid,47,False,None,0.1582,17,10,54.69
grid,48,False,None,0.1602,14,9,55.92
grid,49,False,None,0.1555,12,9,59.39
grid,50,False,None,0.1949,13,9,56.48
grid,51,False,None,0.1401,14,9,56.49
grid,52,False,None,0.1272,13,8,55.68
grid,53,False,None,0.1315,13,8,55.56
grid,54,False,None,0.1620,18,9,51.70
grid,55,False,None,0.1538,16,9,53.71
grid,56,False,None,0.1527,18,10,53.91
grid,57,False,None,0.1646,17,10,54.51
grid,58,False,None,0.1524,19,9,51.26
grid,59,False,None,0.1739,17,8,50.13
grid,60,False,None,0.1372,16,8,51.98
grid,61,False,None,0.1525,16,9,53.74
grid,62,False,None,0.1232,20,8,49.70
